Season,Name,Team,Rebound,Assist,Point
2004-2005,Lazaros Agadakos,OLY,42,9,91
2004-2005,Lavor Postell,OLY,32,14,83
2004-2005,Dusan Vukcevic,OLY,19,12,79
2004-2005,Robert Gulyas,OLY,24,5,74
2004-2005,Roger Mason,OLY,17,3,73
2004-2005,Evangelos Sklavos,OLY,43,11,69
2004-2005,Boris Gorenc,OLY,22,22,62
2004-2005,Ivica Jurkovic,OLY,48,9,54
2004-2005,Elvir Ovcina,OLY,45,4,35
2004-2005,Giannis Kalambokis,OLY,7,3,33
2004-2005,Evangelos Koronios,OLY,5,5,25
2004-2005,Milan Tomic,OLY,4,1,11
2004-2005,Jeff Nordgaard,OLY,12,0,10
2004-2005,Nikos Papanikolopoulos,OLY,2,1,7
2004-2005,Dimitrios Misiakos,OLY,5,0,4
2004-2005,Georgios Printezis,OLY,0,0,0
2004-2005,Jaka Lakovic,PAN,52,70,377
2004-2005,Mike Batiste,PAN,116,17,274
2004-2005,Vlado Scepanovic,PAN,22,26,221
2004-2005,Dimitris Diamantidis,PAN,93,78,213
2004-2005,Kostas Tsartsaris,PAN,108,19,192
2004-2005,Fragkiskos Alvertis,PAN,27,14,169
2004-2005,Nikos Hatzivrettas,PAN,28,19,138
2004-2005,Patrick Femerling,PAN,76,6,107
2004-2005,Ibrahim Kutluay,PAN,16,7,94
2004-2005,Tracy Murray,PAN,18,5,72
2004-2005,Lonny Baxter,PAN,24,0,48
2004-2005,Georgios Kalaitzis,PAN,25,20,44
2004-2005,Darryl Middleton,PAN,12,2,40
2004-2005,Dimitris Papanikolaou,PAN,12,6,26
2004-2005,Dusan Sakota,PAN,9,1,16
2004-2005,Blake Stepp,PAR,29,32,170
2004-2005,Uros Tripkovic,PAR,18,19,150
2004-2005,Vule Avdalovic,PAR,27,41,131
2004-2005,Dejan Milojevic,PAR,69,20,125
2004-2005,Kosta Perovic,PAR,56,11,109
2004-2005,Luka Bogdanovic,PAR,49,10,108
2004-2005,Milan Gurovic,PAR,14,6,55
2004-2005,Slobodan Bozovic,PAR,27,2,52
2004-2005,Semih Erden,PAR,23,4,30
2004-2005,Petar Bozic,PAR,19,18,29
2004-2005,Predrag Samardziski,PAR,32,5,27
2004-2005,Dejan Borovnjak,PAR,12,1,25
2004-2005,Boris Bakic,PAR,5,0,12
2004-2005,Milos Markovic,PAR,3,0,7
2004-2005,Goran Savanovic,PAR,1,1,0
2004-2005,Mire Chatman,PAU,62,87,229
2004-2005,T.J. Lux,PAU,57,11,130
2004-2005,Thierry Rupert,PAU,77,6,130
2004-2005,Davor Marcelic,PAU,30,10,114
2004-2005,Artur Drozdov,PAU,24,16,93
2004-2005,Laurent Foirest,PAU,18,21,91
2004-2005,Johan Petro,PAU,32,4,56
2004-2005,Frederic Fauthoux,PAU,14,30,47
2004-2005,Julius Nwosu,PAU,25,1,47
2004-2005,Thierry Gadou,PAU,18,10,43
2004-2005,Dzenan Rahimic,PAU,30,2,40
2004-2005,Souarata Cisse,PAU,10,5,26
2004-2005,Xane Dalmeida,PAU,6,5,20
2004-2005,Marvin Willoughby,PAU,4,0,4
2004-2005,Maxime Renaud,PAU,0,0,0
2004-2005,Julien Blanchot,PAU,0,0,0
2004-2005,Charles Cornelius Smith,PES,62,45,413
2004-2005,Hanno Mottola,PES,112,19,301
2004-2005,Marko Milic,PES,101,48,228
2004-2005,Robert Archibald,PES,113,13,191
2004-2005,Scoonie Penn,PES,40,54,179
2004-2005,Matteo Malaventura,PES,32,15,93
2004-2005,Tomas Ress,PES,71,2,93
2004-2005,Alessandro Frosini,PES,68,5,86
2004-2005,Teemu Rannikko,PES,25,23,81
2004-2005,Silvio Gigena,PES,20,1,42
2004-2005,German Scarone,PES,10,12,21
2004-2005,Sasa Djordjevic,PES,1,3,8
2004-2005,James Forrest,PES,6,0,7
2004-2005,Andrea Lagioia,PES,0,0,0
2004-2005,Giovanni Tomassini,PES,0,0,0
2004-2005,Louis Bullock,RMB,53,52,308
2004-2005,Alberto Herreros,RMB,31,24,180
2004-2005,Mickael Gelabale,RMB,81,20,156
2004-2005,Axel Hervelle,RMB,80,15,141
2004-2005,Moustapha Sonko,RMB,47,54,129
2004-2005,Pat Burke,RMB,83,8,123
2004-2005,Elmer Bennett,RMB,33,38,121
2004-2005,Felipe Reyes,RMB,131,21,116
2004-2005,Antonis Fotsis,RMB,57,8,116
2004-2005,Antonio Bueno,RMB,43,4,101
2004-2005,Mario Stojic,RMB,8,9,26
2004-2005,Troy Bell,RMB,8,4,11
2004-2005,Alberto Aspe,RMB,1,2,5
2004-2005,Dani Munoz,RMB,0,0,0
2004-2005,Bootsy Thornton,SANA,66,56,230
2004-2005,David Vanterpool,SANA,95,68,224
2004-2005,Vrbica Stefanov,SANA,38,49,200
2004-2005,Mihalis Kakiouzis,SANA,91,10,157
2004-2005,Carlton Myers,SANA,28,26,153
2004-2005,Efthimios Rentzias,SANA,65,10,139
2004-2005,Roberto Chiacig,SANA,78,6,135
2004-2005,Giacomo Galanda,SANA,70,16,127
2004-2005,Mindaugas Zukauskas,SANA,45,25,102
2004-2005,Benjamin Eze,SANA,57,3,71
2004-2005,David Lamma,SANA,7,15,23
2004-2005,Gigi Datome,SANA,8,1,14
2004-2005,Valerio Circosta,SANA,0,0,0
2004-2005,Goran Jagodnik,TRE,108,19,267
2004-2005,Adam Wojcik,TRE,92,11,213
2004-2005,Istvan Nemeth,TRE,35,29,173
2004-2005,Mark Miller,TRE,35,23,134
2004-2005,Tomas Masiulis,TRE,97,30,128
2004-2005,Tomas Pacesas,TRE,54,77,93
2004-2005,Andrija Ciric,TRE,28,7,83
2004-2005,Filip Dylewicz,TRE,45,14,78
2004-2005,Alek Radojevic,TRE,30,5,54
2004-2005,Desmon Farmer,TRE,10,2,42
2004-2005,Darius Maskoliunas,TRE,25,11,41
2004-2005,Mariusz Bacik,TRE,35,8,39
2004-2005,Harold Jamison,TRE,22,3,21
2004-2005,Joe McNaull,TRE,3,0,2
2004-2005,Marcus Goree,TREV,130,48,260
2004-2005,Massimo Bulleri,TREV,45,53,243
2004-2005,Marlon Garnett,TREV,55,19,242
2004-2005,Ramunas Siskauskas,TREV,40,26,213
2004-2005,Matteo Soragna,TREV,63,33,189
2004-2005,Denis Marconato,TREV,159,28,174
2004-2005,Paccelis Morlende,TREV,23,18,90
2004-2005,Joey Beard,TREV,59,8,58
2004-2005,David Blu,TREV,25,9,58
2004-2005,Andrea Bargnani,TREV,25,2,44
2004-2005,Uros Slokar,TREV,17,1,33
2004-2005,Agostino Antonio Li Vecchi,TREV,1,0,3
2004-2005,Luca Sottana,TREV,1,1,2
2004-2005,Gabriel Szalay,TREV,1,0,0
2004-2005,Olivier Ilunga,TREV,0,0,0
2004-2005,Jorge Garbajosa,UNI,102,22,182
2004-2005,J.R. Bremer,UNI,44,35,169
2004-2005,Stephane Risacher,UNI,36,15,130
2004-2005,Fran Vazquez,UNI,58,7,110
2004-2005,Carlos Cabezas,UNI,32,26,91
2004-2005,Berni Rodriguez,UNI,14,13,89
2004-2005,Walter Herrmann,UNI,24,7,86
2004-2005,Pepe Sanchez,UNI,34,29,64
2004-2005,Florent Pietrus,UNI,54,9,37
2004-2005,Gintaras Einikis,UNI,11,0,25
2004-2005,Sean Rooks,UNI,14,2,19
2004-2005,Chus Lazaro,UNI,4,4,13
2004-2005,Zan Tabak,UNI,15,0,13
2004-2005,Francis Perujo,UNI,0,0,2
2004-2005,Tanoka Beard,ZAL,212,25,360
2004-2005,Robert Pack,ZAL,37,55,277
2004-2005,Mindaugas Timinskas,ZAL,107,41,254
2004-2005,Dainius Salenga,ZAL,56,65,240
2004-2005,Paulius Jankunas,ZAL,84,12,124
2004-2005,Vidas Ginevicius,ZAL,33,50,116
2004-2005,Darius Lavrinovic,ZAL,57,2,98
2004-2005,Ainars Bagatskis,ZAL,15,7,94
2004-2005,Simonas Serapinas,ZAL,21,6,51
2004-2005,Martynas Andriuskevicius,ZAL,17,4,22
2004-2005,Arturas Javtokas,ZAL,0,0,4
2004-2005,Vilmantas Dilys,ZAL,0,0,2
2004-2005,Gediminas Navickas,ZAL,1,0,0
2005-2006,Taylor Coppenrath,ATH,47,6,144
2005-2006,Lionel Chalmers,ATH,31,24,131
2005-2006,Slaven Rimac,ATH,21,16,112
2005-2006,Giannis Kalambokis,ATH,31,21,97
2005-2006,Yannis Bourousis,ATH,79,3,93
2005-2006,Spyridon Panteliadis,ATH,11,19,89
2005-2006,Michalis Pelekanos,ATH,36,19,87
2005-2006,Pantelis Papaioakim,ATH,55,5,78
2005-2006,Dror Hajaj,ATH,19,19,47
2005-2006,Amit Tamir,ATH,29,3,32
2005-2006,Giorgos Tsiaras,ATH,7,2,14
2005-2006,Spyros Magounis,ATH,7,2,10
2005-2006,Nikolaos Papanikolaou,ATH,3,0,6
2005-2006,Giannis Athanasoulas,ATH,0,0,0
2005-2006,Anestis Matos,ATH,0,0,0
2005-2006,Marco Belinelli,BOL,31,19,254
2005-2006,Sani Becirovic,BOL,32,42,188
2005-2006,Erazem Lorbek,BOL,83,20,183
2005-2006,Dalibor Bagaric,BOL,100,21,182
2005-2006,Kiwane Garris,BOL,48,54,182
2005-2006,Travis Watson,BOL,147,22,159
2005-2006,Nate Green,BOL,43,35,141
2005-2006,Stefano Mancinelli,BOL,67,29,120
2005-2006,Tomas Ress,BOL,47,6,76
2005-2006,Rodolfo Rombaldoni,BOL,15,20,37
2005-2006,Yakhouba Diawara,BOL,20,1,29
2005-2006,Nestoras Kommatos,BOL,9,3,23
2005-2006,Robert Fultz,BOL,2,3,5
2005-2006,Davide Bruttini,BOL,4,0,2
2005-2006,Lovatti Fabio,BOL,0,1,2
2005-2006,Alessandro Piazza,BOL,0,1,0
2005-2006,Demond Mallet,BRO,34,40,272
2005-2006,Spencer Nelson,BRO,159,37,216
2005-2006,Robert Garrett,BRO,54,27,177
2005-2006,Derrick Phelps,BRO,44,49,134
2005-2006,Chris Ensminger,BRO,100,14,111
2005-2006,Tim Begley,BRO,22,10,102
2005-2006,Koko Archibong,BRO,65,14,95
2005-2006,Uvis Helmanis,BRO,42,8,93
2005-2006,Steffen Hamann,BRO,25,13,58
2005-2006,Dickey Simpkins,BRO,28,3,33
2005-2006,Rick Stafford,BRO,16,10,29
2005-2006,Mike Nahar,BRO,22,1,27
2005-2006,Ivan Pavic,BRO,2,0,2
2005-2006,Michael Schroeder,BRO,0,0,0
2005-2006,Luis Scola,CAJ,167,56,369
2005-2006,Travis Hansen,CAJ,63,17,247
2005-2006,Serkan Erdogan,CAJ,46,19,235
2005-2006,Tiago Splitter,CAJ,111,15,228
2005-2006,Kornel David,CAJ,120,12,227
2005-2006,Casey Jacobsen,CAJ,42,21,226
2005-2006,Pablo Prigioni,CAJ,53,156,145
2005-2006,Peja Drobnjak,CAJ,52,7,101
2005-2006,Sergi Vidal,CAJ,60,28,91
2005-2006,Roko Ukic,CAJ,22,32,75
2005-2006,Lionel Chalmers,CAJ,13,5,24
2005-2006,Jordi Grimau,CAJ,0,0,3
2005-2006,Oscar Garcia,CAJ,0,0,0
2005-2006,Scoonie Penn,CIB,54,57,341
2005-2006,Bennett Davison,CIB,132,16,202
2005-2006,Davor Kus,CIB,43,29,181
2005-2006,Damir Markota,CIB,97,12,148
2005-2006,Mate Skelin,CIB,80,12,98
2005-2006,Damir Rancic,CIB,30,17,87
2005-2006,Davor Marcelic,CIB,61,22,84
2005-2006,Marin Rozic,CIB,45,7,67
2005-2006,Chris Levour Warren,CIB,20,1,49
2005-2006,Luksa Andric,CIB,28,1,41
2005-2006,Marino Bazdaric,CIB,13,4,33
2005-2006,Jurica Zuza,CIB,13,0,27
2005-2006,Ivan Perincic,CIB,4,0,9
2005-2006,Alen Trepalovac,CIB,2,0,5
2005-2006,Aleksandar Ugrinovski,CIB,1,1,3
2005-2006,Trajan Langdon,CSKA,75,36,308
2005-2006,J.R. Holden,CSKA,39,48,273
2005-2006,Matjaz Smodis,CSKA,115,15,251
2005-2006,Theo Papaloukas,CSKA,75,97,222
2005-2006,David Vanterpool,CSKA,100,68,222
2005-2006,David Andersen,CSKA,92,13,177
2005-2006,Sergey Panov,CSKA,53,18,133
2005-2006,Alexei Savrasenko,CSKA,96,20,124
2005-2006,Thomas Van Den Spiegel,CSKA,27,0,48
2005-2006,Nikita Kurbanov,CSKA,28,5,34
2005-2006,Zakhar Pashutin,CSKA,23,12,30
2005-2006,Vasily Zavoruev,CSKA,7,3,15
2005-2006,Anatoly Kashirov,CSKA,6,0,7
2005-2006,Nikita Shabalkin,CSKA,3,0,6
2005-2006,Vladimir Dyachok,CSKA,2,1,5
2005-2006,Antonio Granger,EFE,83,12,300
2005-2006,Henry Domercant,EFE,71,36,272
2005-2006,Nikola Prkacin,EFE,114,41,267
2005-2006,Kaya Peker,EFE,109,15,222
2005-2006,Marko Popovic,EFE,22,49,206
2005-2006,Ender Arslan,EFE,28,45,126
2005-2006,Kerem Gonlum,EFE,140,5,100
2005-2006,Cenk Akyol,EFE,21,9,53
2005-2006,Ermal Kuqo,EFE,14,2,26
2005-2006,Baris Ermis,EFE,2,10,19
2005-2006,Mutlu Demir,EFE,2,0,3
2005-2006,Alper Yilmaz,EFE,2,2,3
2005-2006,Mustafa Abi,EFE,7,1,2
2005-2006,Juan Carlos Navarro,FCB,51,54,333
2005-2006,Shammond Williams,FCB,62,107,314
2005-2006,Mihalis Kakiouzis,FCB,131,20,284
2005-2006,Gianluca Basile,FCB,50,37,200
2005-2006,Gregor Fucka,FCB,123,20,166
2005-2006,Denis Marconato,FCB,114,18,157
2005-2006,Bootsy Thornton,FCB,58,22,124
2005-2006,Jordi Trias,FCB,71,14,98
2005-2006,Rodrigo De La Fuente,FCB,53,29,82
2005-2006,Roger Grimau,FCB,17,12,75
2005-2006,Marc Gasol,FCB,17,4,40
2005-2006,Ed Cota,FCB,10,17,20
2005-2006,Milos Vujanic,FCB,1,4,10
2005-2006,Victor Sada,FCB,10,4,7
2005-2006,Ibrahim Kutluay,FEN,44,32,219
2005-2006,Vrbica Stefanov,FEN,45,60,212
2005-2006,Jeff Trepagnier,FEN,67,31,204
2005-2006,Marcus Haislip,FEN,107,11,202
2005-2006,Mirsad Turkcan,FEN,143,24,187
2005-2006,Omer Onan,FEN,20,13,85
2005-2006,Robert Gulyas,FEN,38,6,80
2005-2006,Oguz Savas,FEN,45,7,79
2005-2006,Cuneyt Erden,FEN,17,21,45
2005-2006,Drago Pasalic,FEN,21,0,36
2005-2006,Caner Oner,FEN,4,1,29
2005-2006,Bekir Yarangume,FEN,8,5,15
2005-2006,Jerome Beasley,FEN,1,0,13
2005-2006,Derya Yannier,FEN,4,1,7
2005-2006,Ernest Brown,FEN,2,0,2
2005-2006,Matt Nielsen,LIE,98,33,235
2005-2006,Fred House,LIE,60,27,227
2005-2006,Simas Jasaitis,LIE,100,20,214
2005-2006,Robertas Javtokas,LIE,164,18,192
2005-2006,Roberts Stelmahers,LIE,41,54,161
2005-2006,Haris Mujezinovic,LIE,59,17,139
2005-2006,Tomas Delininkaitis,LIE,20,19,99
2005-2006,Mindaugas Lukauskis,LIE,60,16,82
2005-2006,Andrius Slezas,LIE,30,7,48
2005-2006,Sandis Buskevics,LIE,21,12,39
2005-2006,Maurice Baker,LIE,11,9,26
2005-2006,Povilas Cukinas,LIE,20,6,23
2005-2006,Ivan Tomas,LIE,2,5,5
2005-2006,Ernestas Ezerskis,LIE,0,0,0
2005-2006,Will Solomon,MAC,60,74,375
2005-2006,Anthony Parker,MAC,172,94,371
2005-2006,Maceo Baston,MAC,149,16,321
2005-2006,Nikola Vujcic,MAC,136,94,286
2005-2006,Derrick Sharp,MAC,44,34,198
2005-2006,Jamie Arnold,MAC,83,9,179
2005-2006,Tal Burstein,MAC,92,43,166
2005-2006,Shason Sharon,MAC,32,9,91
2005-2006,Kirk Penney,MAC,16,1,63
2005-2006,Yaniv Green,MAC,24,5,47
2005-2006,Omri Casspi,MAC,0,0,2
2005-2006,Assaf Dotan,MAC,0,0,0
2005-2006,Massimo Bulleri,MIL,49,43,186
2005-2006,Dante Calabria,MIL,73,33,169
2005-2006,Preston Shumpert,MIL,37,19,145
2005-2006,Giacomo Galanda,MIL,70,18,144
2005-2006,Joseph Blair,MIL,80,11,88
2005-2006,Diego Fajardo,MIL,47,9,79
2005-2006,Dusan Vukcevic,MIL,8,9,57
2005-2006,Sven Schultze,MIL,13,9,44
2005-2006,Claudio Coldebella,MIL,17,8,42
2005-2006,Mario Gigena,MIL,12,6,37
2005-2006,Tyrone Grant,MIL,36,2,37
2005-2006,Alejandro Ariel Montecchia,MIL,4,7,5
2005-2006,Daniele Cavaliero,MIL,3,3,3
2005-2006,Stefano Mercante,MIL,0,0,0
2005-2006,Alessandro Priuli,MIL,1,0,0
2005-2006,Danilo Gallinari,MIL,0,0,0
2005-2006,Yotam Halperin,OLI,37,45,184
2005-2006,Teemu Rannikko,OLI,27,39,168
2005-2006,Jimmy Oliver,OLI,28,11,140
2005-2006,Szymon Szewczyk,OLI,34,3,93
2005-2006,Dragisa Drobnjak,OLI,54,16,88
2005-2006,Vedran Morovic,OLI,7,13,62
2005-2006,DeMarco Johnson,OLI,28,3,52
2005-2006,Manuchar Markoishvili,OLI,11,4,43
2005-2006,Vassil Evtimov,OLI,21,3,39
2005-2006,Hasan Rizvic,OLI,38,5,33
2005-2006,Josko Poljak,OLI,24,2,32
2005-2006,Toni Dijan,OLI,11,4,20
2005-2006,Damon Stringer,OLI,1,2,14
2005-2006,Remon Van de Hare,OLI,23,0,13
2005-2006,Marko Antonijevic,OLI,2,0,3
2005-2006,Ernest Novak,OLI,0,0,0
2005-2006,Luka Zoric,OLI,1,0,0
2005-2006,Tyus Edney,OLY,68,103,306
2005-2006,Quincy Lewis,OLY,85,27,252
2005-2006,Sofoklis Schortsanitis,OLY,108,11,236
2005-2006,Andrija Zizic,OLY,101,8,191
2005-2006,Panagiotis Vasilopoulos,OLY,101,22,152
2005-2006,Nikos Chatzis,OLY,29,15,145
2005-2006,Renaldas Seibutis,OLY,44,14,144
2005-2006,Nikos Barlos,OLY,88,13,130
2005-2006,Manolis Papamakarios,OLY,53,40,125
2005-2006,Christos Harissis,OLY,18,23,62
2005-2006,Georgios Printezis,OLY,9,1,30
2005-2006,Lazaros Agadakos,OLY,5,1,17
2005-2006,Matt Freije,OLY,0,0,6
2005-2006,Ivan Koljevic,OLY,2,2,4
2005-2006,Nikos Argyropoylos,OLY,1,0,2
2005-2006,Dimitrios Kalaitzidis,OLY,0,0,0
2005-2006,Vassilis Spanoulis,PAN,46,72,335
2005-2006,Jaka Lakovic,PAN,31,55,317
2005-2006,Mike Batiste,PAN,152,13,307
2005-2006,Dimitris Diamantidis,PAN,103,66,199
2005-2006,Kostas Tsartsaris,PAN,70,24,151
2005-2006,Nikos Hatzivrettas,PAN,25,13,149
2005-2006,Fragkiskos Alvertis,PAN,20,5,128
2005-2006,Dejan Tomasevic,PAN,56,16,102
2005-2006,Dusan Sakota,PAN,19,3,63
2005-2006,Vlado Scepanovic,PAN,14,11,61
2005-2006,Dimitris Papanikolaou,PAN,40,7,53
2005-2006,Patrick Femerling,PAN,5,1,18
2005-2006,Georgios Kalaitzis,PAN,8,1,10
2005-2006,Brandon Hunter,PAN,5,1,7
2005-2006,Dejan Milojevic,PAR,121,28,197
2005-2006,Kosta Perovic,PAR,57,5,135
2005-2006,Uros Tripkovic,PAR,15,23,123
2005-2006,Predrag Suput,PAR,55,19,117
2005-2006,Nikola Pekovic,PAR,51,4,99
2005-2006,Luka Bogdanovic,PAR,52,13,96
2005-2006,Nikola Loncar,PAR,17,13,95
2005-2006,Gerald Brown,PAR,14,15,49
2005-2006,Petar Bozic,PAR,12,7,23
2005-2006,Novica Velickovic,PAR,6,0,12
2005-2006,Boris Bakic,PAR,6,2,10
2005-2006,Aleksandar Smiljanic,PAR,2,9,10
2005-2006,Nenad Stefanovic,PAR,0,4,9
2005-2006,Vonteego Cummings,PAR,2,7,3
2005-2006,Damon Edwards,PAR,0,1,0
2005-2006,Predrag Samardziski,PAR,4,0,0
2005-2006,Dejan Borovnjak,PAR,1,0,0
2005-2006,Strahinja Dragicevic,PAR,0,0,0
2005-2006,Lonnie Cooper,PAU,23,59,156
2005-2006,Artur Drozdov,PAU,59,16,138
2005-2006,Brooks Sales,PAU,78,10,119
2005-2006,T.J. Lux,PAU,69,12,118
2005-2006,C.C. Harrison,PAU,19,13,103
2005-2006,Thierry Rupert,PAU,56,8,89
2005-2006,Jeff Varem,PAU,42,5,56
2005-2006,Frederic Fauthoux,PAU,16,13,54
2005-2006,Thierry Gadou,PAU,23,9,52
2005-2006,Souarata Cisse,PAU,4,1,38
2005-2006,Xane Dalmeida,PAU,16,27,36
2005-2006,Alvin Sims,PAU,3,0,9
2005-2006,Jonathan Aka,PAU,2,0,3
2005-2006,Laurent Foirest,PAU,3,1,0
2005-2006,Louis Bullock,RMB,32,40,316
2005-2006,Igor Rakocevic,RMB,58,61,296
2005-2006,Felipe Reyes,RMB,166,31,215
2005-2006,Axel Hervelle,RMB,99,20,201
2005-2006,Mickael Gelabale,RMB,77,16,173
2005-2006,Venson Hamilton,RMB,115,15,117
2005-2006,Moustapha Sonko,RMB,53,39,101
2005-2006,Marko Tomas,RMB,31,27,98
2005-2006,Alex Scales,RMB,15,9,64
2005-2006,Eduardo Hernandez-Sonseca,RMB,34,3,50
2005-2006,Josh Fisher,RMB,5,4,17
2005-2006,Hector Garcia,RMB,9,4,13
2005-2006,Nedzad Sinanovic,RMB,11,0,7
2005-2006,Oscar Gonzalez de las Cuevas,RMB,0,0,2
2005-2006,Roberto Nunez,RMB,0,0,0
2005-2006,Rimantas Kaukenas,SANA,27,28,212
2005-2006,Duane Woodward,SANA,22,20,113
2005-2006,Justin Hamilton,SANA,28,32,103
2005-2006,Andrea Pecile,SANA,15,14,92
2005-2006,Roberto Chiacig,SANA,54,5,83
2005-2006,Vladimir Boisa,SANA,45,11,79
2005-2006,Mindaugas Zukauskas,SANA,35,13,60
2005-2006,Shaun Stonerook,SANA,82,24,59
2005-2006,Gigi Datome,SANA,25,4,57
2005-2006,Marcelo Nicola,SANA,22,13,56
2005-2006,Jamel Thomas,SANA,21,4,53
2005-2006,Benjamin Eze,SANA,28,0,34
2005-2006,David Lamma,SANA,0,0,0
2005-2006,Ricardo Greer,STR,63,28,175
2005-2006,K'Zell Wesson,STR,94,27,142
2005-2006,Alvin Young,STR,27,11,108
2005-2006,Jeff Greer,STR,45,12,107
2005-2006,Ondrej Starosta,STR,54,6,83
2005-2006,John McCord,STR,36,16,79
2005-2006,Aymeric Jeanneau,STR,30,48,74
2005-2006,Sacha Giffa,STR,42,8,68
2005-2006,Crawford Palmer,STR,52,8,68
2005-2006,Stanley Jackson,STR,25,18,57
2005-2006,Elson Mendy,STR,2,1,5
2005-2006,B.J. Hatton,STR,4,1,4
2005-2006,Boudji Yaici,STR,2,1,2
2005-2006,Goran Jagodnik,TRE,88,13,211
2005-2006,Adam Wojcik,TRE,55,13,156
2005-2006,Christian Dalmau,TRE,33,41,134
2005-2006,Istvan Nemeth,TRE,33,36,107
2005-2006,Michael Andersen,TRE,56,7,100
2005-2006,Tomas Masiulis,TRE,78,25,81
2005-2006,Tomas Pacesas,TRE,33,37,80
2005-2006,Filip Dylewicz,TRE,49,9,55
2005-2006,Jeff Nordgaard,TRE,18,4,50
2005-2006,Ali Bouziane,TRE,3,8,14
2005-2006,Rashid Atkins,TRE,1,0,9
2005-2006,Drew Nicholas,TREV,55,54,369
2005-2006,Marcus Goree,TREV,133,31,227
2005-2006,Andrea Bargnani,TREV,74,9,197
2005-2006,Petar Popovic,TREV,65,11,189
2005-2006,Ramunas Siskauskas,TREV,42,28,180
2005-2006,Marco Mordente,TREV,54,30,135
2005-2006,Matteo Soragna,TREV,42,39,115
2005-2006,Uros Slokar,TREV,61,7,98
2005-2006,Nikos Zisis,TREV,19,34,57
2005-2006,Luca Sottana,TREV,9,1,21
2005-2006,Matt Santangelo,TREV,11,6,10
2005-2006,Ernests Kalve,TREV,2,1,8
2005-2006,Guilherme Giovannoni,TREV,8,1,7
2005-2006,Arnaldinho Filho,TREV,1,8,5
2005-2006,Marcus Brown,UNI,54,49,306
2005-2006,Jorge Garbajosa,UNI,125,42,268
2005-2006,Daniel Santiago,UNI,107,11,246
2005-2006,Stephane Risacher,UNI,38,16,145
2005-2006,Berni Rodriguez,UNI,36,32,145
2005-2006,Carlos Cabezas,UNI,42,46,129
2005-2006,Walter Herrmann,UNI,25,9,110
2005-2006,Pepe Sanchez,UNI,85,57,94
2005-2006,Florent Pietrus,UNI,70,2,45
2005-2006,Sandro Nicevic,UNI,25,3,44
2005-2006,Chus Lazaro,UNI,3,3,10
2005-2006,Stanislav Makshantsev,UNI,0,0,3
2005-2006,Alfonso Sanchez,UNI,1,0,2
2005-2006,Darius Lavrinovic,ZAL,163,37,285
2005-2006,Reggie Freeman,ZAL,66,43,197
2005-2006,Paulius Jankunas,ZAL,131,23,194
2005-2006,Tanoka Beard,ZAL,103,29,182
2005-2006,Simonas Serapinas,ZAL,36,17,142
2005-2006,Vidas Ginevicius,ZAL,27,31,113
2005-2006,Jonas Maciulis,ZAL,49,8,106
2005-2006,Larry Ayuso,ZAL,14,9,82
2005-2006,Ed Cota,ZAL,42,32,37
2005-2006,Mantas Kalnietis,ZAL,8,8,27
2005-2006,Darius Silinskis,ZAL,23,2,25
2005-2006,Kenny Anderson,ZAL,9,15,22
2005-2006,Andrius Aleksandrovas,ZAL,0,0,0
2006-2007,Alex Scales,ARI,64,25,287
2006-2007,Jeremiah Massey,ARI,148,27,247
2006-2007,Mike Wilkinson,ARI,112,24,233
2006-2007,Terell Castle,ARI,58,39,164
2006-2007,Savvas Iliadis,ARI,40,17,138
2006-2007,Mahmoud Abdul-Rauf,ARI,14,12,79
2006-2007,Dimitrios Tsaldaris,ARI,23,12,66
2006-2007,Georgios Sigalas,ARI,44,25,59
2006-2007,Simonas Serapinas,ARI,28,2,51
2006-2007,Yannis Giannoulis,ARI,32,6,35
2006-2007,Georgios Kalaitzis,ARI,35,16,28
2006-2007,Kevin Fletcher,ARI,15,0,25
2006-2007,Spyridon Panteliadis,ARI,9,9,10
2006-2007,David Blu,BOL,59,17,224
2006-2007,Marco Belinelli,BOL,25,17,167
2006-2007,Tyus Edney,BOL,30,49,152
2006-2007,James Thomas,BOL,128,12,136
2006-2007,Stefano Mancinelli,BOL,44,18,132
2006-2007,Preston Shumpert,BOL,18,10,88
2006-2007,Vassil Evtimov,BOL,71,14,83
2006-2007,Daniele Cavaliero,BOL,10,17,46
2006-2007,Steffen Hamann,BOL,11,18,33
2006-2007,Alain Digbeu,BOL,15,5,26
2006-2007,Robert Fultz,BOL,4,9,18
2006-2007,Kristaps Janicenoks,BOL,1,2,10
2006-2007,Dan Gay,BOL,0,0,0
2006-2007,Tomas Ress,BOL,1,0,0
2006-2007,Igor Rakocevic,CAJ,53,37,357
2006-2007,Luis Scola,CAJ,135,50,357
2006-2007,Serkan Erdogan,CAJ,26,28,254
2006-2007,Tiago Splitter,CAJ,120,15,214
2006-2007,Zoran Planinic,CAJ,49,68,167
2006-2007,Pablo Prigioni,CAJ,64,108,152
2006-2007,Fred House,CAJ,89,24,130
2006-2007,Mirza Teletovic,CAJ,66,14,127
2006-2007,Kaya Peker,CAJ,79,15,124
2006-2007,Sergi Vidal,CAJ,25,23,75
2006-2007,Ender Arslan,CAJ,8,4,37
2006-2007,Diego Fajardo,CAJ,5,0,13
2006-2007,Ariel Eslava,CAJ,1,0,3
2006-2007,Jesus Cilla,CAJ,8,1,2
2006-2007,Chris Levour Warren,CIB,68,18,192
2006-2007,Davor Kus,CIB,28,44,191
